GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geography,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016
0100000US,,United States,310M300US15180,15180,"United States - Brownsville-Harlingen, TX Metro Area","Brownsville-Harlingen, TX Metro Area",406220,406219,407629,412937,415445,417260,419191,419893,422135
0100000US,,United States,310M300US15260,15260,"United States - Brunswick, GA Metro Area","Brunswick, GA Metro Area",112370,112368,112540,113031,113407,113872,114750,116022,116784
0100000US,,United States,310M300US15380,15380,"United States - Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1135509,1135617,1135709,1135817,1135633,1136417,1137186,1135479,1132804
0100000US,,United States,310M300US15500,15500,"United States - Burlington, NC Metro Area","Burlington, NC Metro Area",151131,151144,151486,152847,153659,154622,156036,157857,159688
0100000US,,United States,310M300US15540,15540,"United States - Burlington-South Burlington, VT Metro Area","Burlington-South Burlington, VT Metro Area",211261,211262,211554,212890,214006,215223,216537,217273,217365
0100000US,,United States,310M300US15680,15680,"United States - California-Lexington Park, MD Metro Area","California-Lexington Park, MD Metro Area",105151,105148,105752,107781,109071,109607,110483,111628,112587
0100000US,,United States,310M300US15940,15940,"United States - Canton-Massillon, OH Metro Area","Canton-Massillon, OH Metro Area",404422,404428,404295,403159,403394,403270,403751,402655,401281
0100000US,,United States,310M300US15980,15980,"United States - Cape Coral-Fort Myers, FL Metro Area","Cape Coral-Fort Myers, FL Metro Area",618754,618754,620590,630543,644096,660085,678048,700285,722336
0100000US,,United States,310M300US16020,16020,"United States - Cape Girardeau, MO-IL Metro Area","Cape Girardeau, MO-IL Metro Area",96275,96275,96443,97064,97278,97286,97589,97514,97443
0100000US,,United States,310M300US16060,16060,"United States - Carbondale-Marion, IL Metro Area","Carbondale-Marion, IL Metro Area",126575,126580,126819,127031,125755,126980,126643,126809,126430
0100000US,,United States,310M300US16180,16180,"United States - Carson City, NV Metro Area","Carson City, NV Metro Area",55274,55274,55025,54738,54540,53989,54385,54405,54742
0100000US,,United States,310M300US16220,16220,"United States - Casper, WY Metro Area","Casper, WY Metro Area",75450,75450,75474,76410,78602,81092,81432,82191,81039
0100000US,,United States,310M300US16300,16300,"United States - Cedar Rapids, IA Metro Area","Cedar Rapids, IA Metro Area",257940,257941,258408,260882,261705,262295,263734,265850,267799
0100000US,,United States,310M300US16540,16540,"United States - Chambersburg-Waynesboro, PA Metro Area","Chambersburg-Waynesboro, PA Metro Area",149618,149618,149948,151014,151575,152063,152751,153295,153851
0100000US,,United States,310M300US16580,16580,"United States - Champaign-Urbana, IL Metro Area","Champaign-Urbana, IL Metro Area",231891,231889,232298,233325,234442,235612,236788,237840,238554
0100000US,,United States,310M300US16620,16620,"United States - Charleston, WV Metro Area","Charleston, WV Metro Area",227078,227071,226896,225811,225796,224687,222797,220375,217916
0100000US,,United States,310M300US16700,16700,"United States - Charleston-North Charleston, SC Metro Area","Charleston-North Charleston, SC Metro Area",664607,664644,667501,681318,697123,711449,727027,744603,761155
0100000US,,United States,310M300US16740,16740,"United States - Charlotte-Concord-Gastonia, NC-SC Metro Area","Charlotte-Concord-Gastonia, NC-SC Metro Area",2217012,2216974,2223454,2256476,2294642,2334781,2377378,2424643,2474314
0100000US,,United States,310M300US16820,16820,"United States - Charlottesville, VA Metro Area","Charlottesville, VA Metro Area",218705,218707,219094,221251,222966,224347,226440,228977,231349
0100000US,,United States,310M300US16860,16860,"United States - Chattanooga, TN-GA Metro Area","Chattanooga, TN-GA Metro Area",528143,528152,529228,533351,538156,541926,543891,547007,551632
0100000US,,United States,310M300US16940,16940,"United States - Cheyenne, WY Metro Area","Cheyenne, WY Metro Area",91738,91881,92272,92637,94785,95929,96264,97183,98136
0100000US,,United States,310M300US16980,16980,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9461105,9461550,9471637,9493862,9516555,9535961,9543893,9532569,9512999
0100000US,,United States,314M300US1698016974,1698016974,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area - Chicago-Naperville-Arlington Heights, IL Metro Division","Chicago-Naperville-Arlington Heights, IL Metro Division",7262718,7263183,7271179,7294177,7315816,7331883,7335505,7323962,7304532
0100000US,,United States,314M300US1698020994,1698020994,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area - Elgin, IL Metro Division","Elgin, IL Metro Division",620429,620418,621206,624087,625707,627738,631434,634243,636243
0100000US,,United States,314M300US1698023844,1698023844,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area - Gary, IN Metro Division","Gary, IN Metro Division",708070,708119,708280,707782,706378,705357,705475,702783,700994
0100000US,,United States,314M300US1698029404,1698029404,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area - Lake County-Kenosha County, IL-WI Metro Division","Lake County-Kenosha County, IL-WI Metro Division",869888,869830,870972,867816,868654,870983,871479,871581,871230
0100000US,,United States,310M300US17020,17020,"United States - Chico, CA Metro Area","Chico, CA Metro Area",220000,220000,219983,219987,221180,222116,223974,225251,226864
0100000US,,United States,310M300US17140,17140,"United States - Cincinnati, OH-KY-IN Metro Area","Cincinnati, OH-KY-IN Metro Area",2114580,2114751,2117889,2122659,2128439,2136296,2146784,2155392,2165139
0100000US,,United States,310M300US17300,17300,"United States - Clarksville, TN-KY Metro Area","Clarksville, TN-KY Metro Area",260625,260635,261718,264443,275272,273191,277759,280988,282349
0100000US,,United States,310M300US17420,17420,"United States - Cleveland, TN Metro Area","Cleveland, TN Metro Area",115788,115758,115936,116620,117707,118521,119643,120651,121262
0100000US,,United States,310M300US17460,17460,"United States - Cleveland-Elyria, OH Metro Area","Cleveland-Elyria, OH Metro Area",2077240,2077258,2075769,2068471,2064240,2064501,2063862,2059929,2055612
0100000US,,United States,310M300US17660,17660,"United States - Coeur d'Alene, ID Metro Area","Coeur d'Alene, ID Metro Area",138494,138464,138887,141025,142311,144299,147294,150364,154311
0100000US,,United States,310M300US17780,17780,"United States - College Station-Bryan, TX Metro Area","College Station-Bryan, TX Metro Area",228660,228668,229480,231386,234025,237722,242530,250040,254928
0100000US,,United States,310M300US17820,17820,"United States - Colorado Springs, CO Metro Area","Colorado Springs, CO Metro Area",645613,645611,650397,660230,669014,678235,686022,697619,712327
0100000US,,United States,310M300US17860,17860,"United States - Columbia, MO Metro Area","Columbia, MO Metro Area",162642,162645,163201,166030,168746,171072,172906,174546,176594
0100000US,,United States,310M300US17900,17900,"United States - Columbia, SC Metro Area","Columbia, SC Metro Area",767598,767477,769689,776543,783941,791746,799854,809771,817488
0100000US,,United States,310M300US17980,17980,"United States - Columbus, GA-AL Metro Area","Columbus, GA-AL Metro Area",294865,295531,296506,302721,311071,316616,314029,311820,308755
0100000US,,United States,310M300US18020,18020,"United States - Columbus, IN Metro Area","Columbus, IN Metro Area",76794,76786,76845,77626,78927,79491,80182,81011,81402
0100000US,,United States,310M300US18140,18140,"United States - Columbus, OH Metro Area","Columbus, OH Metro Area",1901974,1902003,1906516,1925857,1946428,1970123,1996809,2020144,2041520
0100000US,,United States,310M300US18580,18580,"United States - Corpus Christi, TX Metro Area","Corpus Christi, TX Metro Area",428185,428188,427997,431010,436817,443126,448106,452735,454726
0100000US,,United States,310M300US18700,18700,"United States - Corvallis, OR Metro Area","Corvallis, OR Metro Area",85579,85581,85566,85999,86441,86066,87112,88271,89385
0100000US,,United States,310M300US18880,18880,"United States - Crestview-Fort Walton Beach-Destin, FL Metro Area","Crestview-Fort Walton Beach-Destin, FL Metro Area",235865,235865,236006,238918,247584,252819,257029,262140,267059
0100000US,,United States,310M300US19060,19060,"United States - Cumberland, MD-WV Metro Area","Cumberland, MD-WV Metro Area",103299,103292,103245,102638,101869,101331,100645,99944,99541
0100000US,,United States,310M300US19100,19100,"United States - Dallas-Fort Worth-Arlington, TX Metro Area","Dallas-Fort Worth-Arlington, TX Metro Area",6426214,6426241,6452677,6571576,6704080,6813055,6945274,7089888,7233323
0100000US,,United States,314M300US1910019124,1910019124,"United States - Dallas-Fort Worth-Arlington, TX Metro Area - Dallas-Plano-Irving, TX Metro Division","Dallas-Plano-Irving, TX Metro Division",4230520,4228966,4247498,4332826,4427507,4503346,4597038,4695810,4793649
0100000US,,United States,314M300US1910023104,1910023104,"United States - Dallas-Fort Worth-Arlington, TX Metro Area - Fort Worth-Arlington, TX Metro Division","Fort Worth-Arlington, TX Metro Division",2195694,2197275,2205179,2238750,2276573,2309709,2348236,2394078,2439674
0100000US,,United States,310M300US19140,19140,"United States - Dalton, GA Metro Area","Dalton, GA Metro Area",142227,142227,142318,142508,142585,142261,142853,143452,143904
0100000US,,United States,310M300US19180,19180,"United States - Danville, IL Metro Area","Danville, IL Metro Area",81625,81625,81617,81380,80774,80495,79695,78990,78111
0100000US,,United States,310M300US19300,19300,"United States - Daphne-Fairhope-Foley, AL Metro Area","Daphne-Fairhope-Foley, AL Metro Area",182265,182265,183199,186653,190403,195147,199745,203690,208563
0100000US,,United States,310M300US19340,19340,"United States - Davenport-Moline-Rock Island, IA-IL Metro Area","Davenport-Moline-Rock Island, IA-IL Metro Area",379690,379689,380241,381119,382828,384024,383972,383426,382268
0100000US,,United States,310M300US19380,19380,"United States - Dayton, OH Metro Area","Dayton, OH Metro Area",799232,799219,800307,801312,802216,801308,800746,799800,800683
0100000US,,United States,310M300US19460,19460,"United States - Decatur, AL Metro Area","Decatur, AL Metro Area",153829,153825,153916,154040,153911,153222,153034,152520,152256
0100000US,,United States,310M300US19500,19500,"United States - Decatur, IL Metro Area","Decatur, IL Metro Area",110768,110768,110779,110624,110083,109533,108479,107377,106550
0100000US,,United States,310M300US19660,19660,"United States - Deltona-Daytona Beach-Ormond Beach, FL Metro Area","Deltona-Daytona Beach-Ormond Beach, FL Metro Area",590289,590294,590727,591935,595884,601295,610384,623378,637674
0100000US,,United States,310M300US19740,19740,"United States - Denver-Aurora-Lakewood, CO Metro Area","Denver-Aurora-Lakewood, CO Metro Area",2543482,2543600,2554864,2600899,2647830,2698125,2752433,2808816,2853077
0100000US,,United States,310M300US19780,19780,"United States - Des Moines-West Des Moines, IA Metro Area","Des Moines-West Des Moines, IA Metro Area",569633,569633,571994,580851,589499,600073,611900,622580,634725
